subject	subject_label	object	object_label	ordo_id	ordo_id_label	preferred_object	preferred_object_label	preferred_edge_source	preferred_edge_source_label
MONDO:0004739	urea cycle disorder	MONDO:0019189	inborn disorder of amino acid and other organic acid metabolism	Orphanet:79167	None	MONDO:0004736	inborn disorder of amino acid metabolism	MONDO:Entailed	None
MONDO:0004739	urea cycle disorder	MONDO:0019189	inborn disorder of amino acid and other organic acid metabolism	Orphanet:79167	None	MONDO:0004736	inborn disorder of amino acid metabolism	MONDO:Redundant	None
MONDO:0004948	B-cell chronic lymphocytic leukemia	MONDO:0017594	indolent B-cell non-Hodgkin lymphoma	Orphanet:67038	None	MONDO:0001014	chronic leukemia	NCIT:C3163	None
MONDO:0004948	B-cell chronic lymphocytic leukemia	MONDO:0017594	indolent B-cell non-Hodgkin lymphoma	Orphanet:67038	None	MONDO:0004949	neoplasm of mature B-cells	EFO:0000095	None
MONDO:0004948	B-cell chronic lymphocytic leukemia	MONDO:0017594	indolent B-cell non-Hodgkin lymphoma	Orphanet:67038	None	MONDO:0004949	neoplasm of mature B-cells	NCIT:C3163/inferred	None
MONDO:0004948	B-cell chronic lymphocytic leukemia	MONDO:0017594	indolent B-cell non-Hodgkin lymphoma	Orphanet:67038	None	MONDO:0004967	acute lymphoblastic leukemia	DOID:1040	None
MONDO:0004948	B-cell chronic lymphocytic leukemia	MONDO:0017594	indolent B-cell non-Hodgkin lymphoma	Orphanet:67038	None	MONDO:0004967	acute lymphoblastic leukemia	MONDO:Redundant	None
MONDO:0004948	B-cell chronic lymphocytic leukemia	MONDO:0017594	indolent B-cell non-Hodgkin lymphoma	Orphanet:67038	None	MONDO:0004967	acute lymphoblastic leukemia	MONDO:indirect	None
MONDO:0004952	Hodgkins lymphoma	MONDO:0017343	Epstein-Barr virus-associated malignant lymphoproliferative disorder	Orphanet:98293	None	MONDO:0005062	lymphoma	DOID:8567	None
MONDO:0004952	Hodgkins lymphoma	MONDO:0017343	Epstein-Barr virus-associated malignant lymphoproliferative disorder	Orphanet:98293	None	MONDO:0005062	lymphoma	EFO:0000183	None
MONDO:0004952	Hodgkins lymphoma	MONDO:0017343	Epstein-Barr virus-associated malignant lymphoproliferative disorder	Orphanet:98293	None	MONDO:0005062	lymphoma	MESH:D006689	None
MONDO:0004952	Hodgkins lymphoma	MONDO:0017343	Epstein-Barr virus-associated malignant lymphoproliferative disorder	Orphanet:98293	None	MONDO:0005062	lymphoma	NCIT:C9357	None
MONDO:0004967	acute lymphoblastic leukemia	MONDO:0018908	non-Hodgkin lymphoma	Orphanet:513	None	MONDO:0003538	precursor lymphoblastic lymphoma/leukemia	EFO:0000220	None
MONDO:0004967	acute lymphoblastic leukemia	MONDO:0018908	non-Hodgkin lymphoma	Orphanet:513	None	MONDO:0003538	precursor lymphoblastic lymphoma/leukemia	NCIT:C3167	None
MONDO:0004967	acute lymphoblastic leukemia	MONDO:0018908	non-Hodgkin lymphoma	Orphanet:513	None	MONDO:0005168	neoplasm of immature B and T cells	EFO:0000220	None
MONDO:0004967	acute lymphoblastic leukemia	MONDO:0018908	non-Hodgkin lymphoma	Orphanet:513	None	MONDO:0005402	lymphoid leukemia	NCIT:C3167	None
MONDO:0005033	ganglioneuroma	MONDO:0016729	mixed neuronal-glial tumor	Orphanet:251992	None	MONDO:0002366	autonomic nervous system neoplasm	DOID:4817	None
MONDO:0005033	ganglioneuroma	MONDO:0016729	mixed neuronal-glial tumor	Orphanet:251992	None	MONDO:0002366	autonomic nervous system neoplasm	MONDO:Redundant	None
MONDO:0005033	ganglioneuroma	MONDO:0016729	mixed neuronal-glial tumor	Orphanet:251992	None	MONDO:0002366	autonomic nervous system neoplasm	NCIT:C3049	None
MONDO:0005033	ganglioneuroma	MONDO:0016729	mixed neuronal-glial tumor	Orphanet:251992	None	MONDO:0006316	neuroblastic tumor	NCIT:C3049	None
MONDO:0005058	leiomyosarcoma	MONDO:0018078	soft tissue sarcoma	Orphanet:64720	None	MONDO:0002924	smooth muscle cancer	DOID:1967	None
MONDO:0005058	leiomyosarcoma	MONDO:0018078	soft tissue sarcoma	Orphanet:64720	None	MONDO:0002924	smooth muscle cancer	NCIT:C3158	None
MONDO:0005060	liposarcoma	MONDO:0018078	soft tissue sarcoma	Orphanet:69078	None	MONDO:0002813	lipomatous cancer	DOID:3382	None
MONDO:0005060	liposarcoma	MONDO:0018078	soft tissue sarcoma	Orphanet:69078	None	MONDO:0002813	lipomatous cancer	MONDO:Redundant	None
MONDO:0005060	liposarcoma	MONDO:0018078	soft tissue sarcoma	Orphanet:69078	None	MONDO:0002813	lipomatous cancer	NCIT:C3194	None
MONDO:0005164	fibrosarcoma	MONDO:0018078	soft tissue sarcoma	Orphanet:2030	None	MONDO:0006209	fibroblastic neoplasm	NCIT:C3043	None
MONDO:0005321	Fuchs' endothelial dystrophy	MONDO:0020214	posterior corneal dystrophy	Orphanet:98974	None	MONDO:0000766	corneal endothelial dystrophy	DOID:11555	None
MONDO:0005508	hereditary multiple osteochondromas	MONDO:0019060	bone neoplasm	Orphanet:321	None	MONDO:0002181	exostosis	DOID:206	None
MONDO:0005508	hereditary multiple osteochondromas	MONDO:0019060	bone neoplasm	Orphanet:321	None	MONDO:0002181	exostosis	NCIT:C5183	None
MONDO:0005508	hereditary multiple osteochondromas	MONDO:0019060	bone neoplasm	Orphanet:321	None	MONDO:0015356	hereditary neoplastic syndrome	MESH:D005097	None
MONDO:0005508	hereditary multiple osteochondromas	MONDO:0019060	bone neoplasm	Orphanet:321	None	MONDO:0015356	hereditary neoplastic syndrome	NCIT:C5183	None
MONDO:0005620	cerebral amyloid angiopathy	MONDO:0018634	hereditary amyloidosis	Orphanet:85458	None	MONDO:0011057	cerebrovascular disorder	EFO:0006790	None
MONDO:0005620	cerebral amyloid angiopathy	MONDO:0018634	hereditary amyloidosis	Orphanet:85458	None	MONDO:0011057	cerebrovascular disorder	ICD10CM:I68.0/inferred	None
MONDO:0005620	cerebral amyloid angiopathy	MONDO:0018634	hereditary amyloidosis	Orphanet:85458	None	MONDO:0011057	cerebrovascular disorder	MESH:D016657/inferred	None
MONDO:0005620	cerebral amyloid angiopathy	MONDO:0018634	hereditary amyloidosis	Orphanet:85458	None	MONDO:0011057	cerebrovascular disorder	NCIT:C84625	None
MONDO:0005706	coccidioidomycosis	MONDO:0005135	parasitic infectious disease	Orphanet:228123	None	MONDO:0000308	primary systemic mycosis	DOID:13450	None
MONDO:0005724	cryptococcosis	MONDO:0005135	parasitic infectious disease	Orphanet:1546	None	MONDO:0002312	opportunistic mycosis	DOID:12053	None
MONDO:0005724	cryptococcosis	MONDO:0005135	parasitic infectious disease	Orphanet:1546	None	MONDO:0002312	opportunistic mycosis	MONDO:Redundant	None
MONDO:0005764	follicular dendritic cell sarcoma	MONDO:0020082	dendritic cell tumor	Orphanet:86902	None	MONDO:0004380	dendritic cell sarcoma	DOID:6262	None
MONDO:0005764	follicular dendritic cell sarcoma	MONDO:0020082	dendritic cell tumor	Orphanet:86902	None	MONDO:0004380	dendritic cell sarcoma	MONDO:Redundant	None
MONDO:0005803	hyperinsulinemic hypoglycemia	MONDO:0005151	endocrine system disorder	Orphanet:443095	None	MONDO:0019214	inborn carbohydrate metabolic disorder	DOID:13317	None
MONDO:0005803	hyperinsulinemic hypoglycemia	MONDO:0005151	endocrine system disorder	Orphanet:443095	None	MONDO:0019214	inborn carbohydrate metabolic disorder	EFO:0007318	None
MONDO:0005815	pancreatic neuroendocrine neoplasm	MONDO:0024503	digestive system neuroendocrine neoplasm	Orphanet:506052	None	MONDO:0001933	endocrine pancreas disorder	DOID:1799	None
MONDO:0005815	pancreatic neuroendocrine neoplasm	MONDO:0024503	digestive system neuroendocrine neoplasm	Orphanet:506052	None	MONDO:0001933	endocrine pancreas disorder	MONDO:Redundant	None
MONDO:0005815	pancreatic neuroendocrine neoplasm	MONDO:0024503	digestive system neuroendocrine neoplasm	Orphanet:506052	None	MONDO:0001933	endocrine pancreas disorder	NCIT:C27031	None
MONDO:0005815	pancreatic neuroendocrine neoplasm	MONDO:0024503	digestive system neuroendocrine neoplasm	Orphanet:506052	None	MONDO:0021040	pancreatic neoplasm	EFO:0007331	None
MONDO:0005815	pancreatic neuroendocrine neoplasm	MONDO:0024503	digestive system neuroendocrine neoplasm	Orphanet:506052	None	MONDO:0021040	pancreatic neoplasm	MONDO:0018520-obsoleted	None
MONDO:0005815	pancreatic neuroendocrine neoplasm	MONDO:0024503	digestive system neuroendocrine neoplasm	Orphanet:506052	None	MONDO:0021040	pancreatic neoplasm	MONDO:Entailed	None
MONDO:0005815	pancreatic neuroendocrine neoplasm	MONDO:0024503	digestive system neuroendocrine neoplasm	Orphanet:506052	None	MONDO:0021040	pancreatic neoplasm	NCIT:C27031	None
MONDO:0005817	Kluver-Bucy syndrome	MONDO:0020067	infectious encephalitis	Orphanet:157823	None	MONDO:0001162	impulse control disorder	DOID:2510	None
MONDO:0005817	Kluver-Bucy syndrome	MONDO:0020067	infectious encephalitis	Orphanet:157823	None	MONDO:0002254	syndromic disease	NCIT:C84802	None
MONDO:0005846	microsporidiosis	MONDO:0005135	parasitic infectious disease	Orphanet:2552	None	MONDO:0002312	opportunistic mycosis	DOID:4271	None
MONDO:0005854	mixed connective tissue disease	MONDO:0016663	overlapping connective tissue disease	Orphanet:809	None	MONDO:0005554	rheumatic disorder	NCIT:C84892	None
MONDO:0006015	Waterhouse-Friderichsen syndrome	MONDO:0019801	acute adrenal insufficiency	Orphanet:100067	None	MONDO:0002254	syndromic disease	NCIT:C85225	None
MONDO:0006052	pulmonary tuberculosis	MONDO:0005087	respiratory system disorder	Orphanet:3389	None	MONDO:0018076	tuberculosis	DOID:2957	None
MONDO:0006052	pulmonary tuberculosis	MONDO:0005087	respiratory system disorder	Orphanet:3389	None	MONDO:0018076	tuberculosis	EFO:1000049	None
MONDO:0006052	pulmonary tuberculosis	MONDO:0005087	respiratory system disorder	Orphanet:3389	None	MONDO:0018076	tuberculosis	MESH:D014397	None
MONDO:0006052	pulmonary tuberculosis	MONDO:0005087	respiratory system disorder	Orphanet:3389	None	MONDO:0018076	tuberculosis	NCIT:C26899	None
MONDO:0006079	ameloblastic carcinoma	MONDO:0021192	odontogenic neoplasm	Orphanet:314422	None	MONDO:0002038	head and neck carcinoma	MONDO:Redundant	None
MONDO:0006079	ameloblastic carcinoma	MONDO:0021192	odontogenic neoplasm	Orphanet:314422	None	MONDO:0002038	head and neck carcinoma	NCIT:C7492/inferred	None
MONDO:0006372	pituicytoma	MONDO:0016685	low-grade astrocytoma	Orphanet:251623	None	MONDO:0003257	posterior pituitary gland neoplasm	NCIT:C94524	None
MONDO:0006507	hereditary hemochromatosis	MONDO:0017763	disorder of iron metabolism and transport	Orphanet:220489	None	MONDO:0001436	hemosiderosis	NCIT:C84481	None
MONDO:0006507	hereditary hemochromatosis	MONDO:0017763	disorder of iron metabolism and transport	Orphanet:220489	None	MONDO:0004689	inborn metal metabolism disorder	DOID:2352	None
MONDO:0006507	hereditary hemochromatosis	MONDO:0017763	disorder of iron metabolism and transport	Orphanet:220489	None	MONDO:0004689	inborn metal metabolism disorder	MESH:D006432	None
MONDO:0006825	kuru	MONDO:0018926	human prion disease	Orphanet:454745	None	MONDO:0005429	prion disease	DOID:648	None
MONDO:0006825	kuru	MONDO:0018926	human prion disease	Orphanet:454745	None	MONDO:0005429	prion disease	EFO:1001008	None
MONDO:0006825	kuru	MONDO:0018926	human prion disease	Orphanet:454745	None	MONDO:0005429	prion disease	MESH:D007729	None
MONDO:0006861	myeloid sarcoma	MONDO:0015667	acute myeloid leukemia by FAB classification	Orphanet:86850	None	MONDO:0005089	sarcoma	EFO:1001052	None
MONDO:0006861	myeloid sarcoma	MONDO:0015667	acute myeloid leukemia by FAB classification	Orphanet:86850	None	MONDO:0005089	sarcoma	MESH:D023981	None
MONDO:0006908	pituitary apoplexy	MONDO:0019832	acquired pituitary hormone deficiency	Orphanet:95613	None	MONDO:0001259	pituitary gland infarction	DOID:1129	None
MONDO:0007001	tricuspid valve prolapse	MONDO:0020289	congenital tricuspid malformation	Orphanet:95458	None	MONDO:0005561	aortic disorder	EFO:1001218	None
MONDO:0007032	prune belly syndrome	MONDO:0018559	fetal lower urinary tract obstruction	Orphanet:2970	None	MONDO:0015620	syndromic urogenital tract malformation	MONDO:Redundant	None
MONDO:0007057	Acroosteolysis dominant type	MONDO:0005554	rheumatic disorder	Orphanet:955	None	MONDO:0000426	autosomal dominant disease	DOID:2736	None
MONDO:0007057	Acroosteolysis dominant type	MONDO:0005554	rheumatic disorder	Orphanet:955	None	MONDO:0000426	autosomal dominant disease	MONDO:Redundant	None
MONDO:0007057	Acroosteolysis dominant type	MONDO:0005554	rheumatic disorder	Orphanet:955	None	MONDO:0003157	disappearing bone disease	MESH:D010015	None
MONDO:0007057	Acroosteolysis dominant type	MONDO:0005554	rheumatic disorder	Orphanet:955	None	MONDO:0007056	acroosteolysis	MESH:C535663	None
MONDO:0007060	spermatogenic failure 6	MONDO:0015746	male infertility due to globozoospermia	Orphanet:171709/btnt	None	MONDO:0004983	spermatogenic failure	DC-OMIM:102530	None
MONDO:0007060	spermatogenic failure 6	MONDO:0015746	male infertility due to globozoospermia	Orphanet:171709/btnt	None	MONDO:0004983	spermatogenic failure	MONDO:Redundant	None
MONDO:0007060	spermatogenic failure 6	MONDO:0015746	male infertility due to globozoospermia	Orphanet:171709/btnt	None	MONDO:0004983	spermatogenic failure	OMIM:102530	None
MONDO:0007064	severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-negative, due to adenosine deaminase deficiency	MONDO:0019236	inborn disorder of purine metabolism	Orphanet:277	None	MONDO:0017855	T-B- severe combined immunodeficiency	PMID:31953710	None
MONDO:0007064	severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-negative, due to adenosine deaminase deficiency	MONDO:0019236	inborn disorder of purine metabolism	Orphanet:277	None	MONDO:0031520	familial severe combined immunodeficiency	DC-OMIM:102700	None
MONDO:0007064	severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-negative, due to adenosine deaminase deficiency	MONDO:0019236	inborn disorder of purine metabolism	Orphanet:277	None	MONDO:0031520	familial severe combined immunodeficiency	DOID:5810	None
MONDO:0007064	severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-negative, due to adenosine deaminase deficiency	MONDO:0019236	inborn disorder of purine metabolism	Orphanet:277	None	MONDO:0031520	familial severe combined immunodeficiency	MESH:C531816	None
MONDO:0007064	severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-negative, due to adenosine deaminase deficiency	MONDO:0019236	inborn disorder of purine metabolism	Orphanet:277	None	MONDO:0031520	familial severe combined immunodeficiency	MONDO:Redundant	None
MONDO:0007064	severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-negative, due to adenosine deaminase deficiency	MONDO:0019236	inborn disorder of purine metabolism	Orphanet:277	None	MONDO:0031520	familial severe combined immunodeficiency	NCIT:C3962	None
MONDO:0007068	adenylosuccinate lyase deficiency	MONDO:0019236	inborn disorder of purine metabolism	Orphanet:46	None	MONDO:0004736	inborn disorder of amino acid metabolism	DOID:0050762	None
MONDO:0007073	Hypoglossia-hypodactyly syndrome	MONDO:0017139	oromandibular-limb hypogenesis syndrome	Orphanet:989	None	MONDO:0019713	non-syndromic limb reduction defect	PMID:31633310	None
MONDO:0007083	autosomal dominant palmoplantar keratoderma and congenital alopecia	MONDO:0019287	ectodermal dysplasia syndrome	Orphanet:1010	None	MONDO:0017666	diffuse palmoplantar keratoderma	MONDO:0020094-obsoleted	None
MONDO:0007097	Finnish type amyloidosis	MONDO:0018634	hereditary amyloidosis	Orphanet:85448	None	MONDO:0020127	hereditary peripheral neuropathy	MONDO:0016134-obsoleted	None
MONDO:0007201	blepharophimosis, ptosis, and epicanthus inversus syndrome	MONDO:0008537	telecanthus	Orphanet:126	None	MONDO:0000426	autosomal dominant disease	DOID:14778	None
MONDO:0007201	blepharophimosis, ptosis, and epicanthus inversus syndrome	MONDO:0008537	telecanthus	Orphanet:126	None	MONDO:0000426	autosomal dominant disease	MONDO:Redundant	None
MONDO:0007201	blepharophimosis, ptosis, and epicanthus inversus syndrome	MONDO:0019852	inherited primary ovarian failure	Orphanet:126	None	MONDO:0000426	autosomal dominant disease	DOID:14778	None
MONDO:0007201	blepharophimosis, ptosis, and epicanthus inversus syndrome	MONDO:0019852	inherited primary ovarian failure	Orphanet:126	None	MONDO:0000426	autosomal dominant disease	MONDO:Redundant	None
MONDO:0007203	blue rubber bleb nevus	MONDO:0015356	hereditary neoplastic syndrome	Orphanet:1059	None	MONDO:0016229	hereditary vascular anomaly	MONDO:0018730-obsoleted	None
